puzzle_id,min_diff,max_diff,avg_diff,num_solutions
1340,0,4,2.0,2
1344,0,8,4.0,2
1350,0,4,2.0,2
1360,0,10,5.333333333333333,3
1366,0,16,8.0,2
1384,0,4,2.0,2
1388,0,4,2.0,2
1389,0,4,2.0,2
1390,0,16,9.5,8
1391,0,12,6.0,2
1411,0,4,2.0,2
1412,0,24,13.333333333333334,3
1418,0,8,4.0,2
1421,0,14,7.0,4
1426,0,4,2.0,2
1428,0,4,2.0,2
1433,0,48,24.0,4
1434,0,6,3.3333333333333335,3
1435,0,30,19.333333333333332,6
1436,0,4,2.0,2
1440,0,14,8.31578947368421,19
1441,0,12,6.0,4
1442,0,48,21.4,10
1449,0,12,6.0,2
1450,0,4,2.0,2
1463,0,28,18.0,6
1464,0,4,2.0,2
1465,0,16,8.0,2
1470,0,4,2.0,2
1473,0,12,6.0,4
1474,12,48,32.56,50
1475,0,10,5.0,4
1476,0,20,10.0,2
1477,0,12,6.0,2
1483,0,8,4.0,2
1486,0,22,11.0,2
1491,0,44,32.18181818181818,11
1493,0,4,2.0,2
1500,0,8,4.0,2
1508,0,4,2.0,2
1509,0,8,4.0,4
1511,0,20,10.0,7
1521,0,46,31.5,4
1522,0,8,4.0,2
1524,0,26,16.0,11
1530,0,22,12.1,20
1537,0,4,2.0,2
1540,0,4,2.0,2
1541,0,64,34.5,8
1542,0,16,11.666666666666666,6
1545,0,8,4.0,2
1546,0,12,6.0,2
1553,0,24,13.0,4
1555,0,4,2.0,2
1557,0,40,26.24,50
1562,0,8,4.0,4
1568,0,4,2.0,2
1572,0,16,8.615384615384615,26
1573,0,4,2.0,2
1577,0,4,2.0,2
1578,0,6,3.0,2
1583,0,8,4.0,2
1584,16,40,30.08,50
1590,0,20,7.5,4
1592,0,4,2.0,2
1596,0,8,4.0,2
1600,0,4,2.0,2
1604,0,10,6.333333333333333,6
1610,0,12,6.0,2
1611,0,4,2.0,2
1613,0,10,5.5,4
1614,0,8,4.0,2
1615,0,8,4.666666666666667,3
1619,0,12,6.0,2
1625,0,12,7.2,5
1633,0,12,6.0,4
1635,0,24,12.48,50
1637,0,20,10.0,2
1641,0,16,9.0,6
1644,0,4,2.0,2
1650,0,12,6.0,4
1651,0,12,5.333333333333333,3
1653,0,8,4.0,2
1656,0,4,2.0,2
1658,0,36,18.0,2
1660,0,22,12.56,25
1662,0,8,4.0,2
